Origin,Bulk,RepBin,Trmt,TOD,Dead
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,40,1
Cross1,1,2,Ctrl,141,0
Cross1,1,2,Ctrl,141,0
Cross1,1,2,Ctrl,141,0
Cross2,1,1,Ctrl,72,1
Cross2,1,1,Ctrl,135,1
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,109,1
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,1,Ctrl,141,0
Cross2,1,2,Ctrl,97,1
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,62,1
Cross2,1,2,Ctrl,62,1
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,135,1
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross2,1,2,Ctrl,141,0
Cross1,1,3,Heat,40,1
Cross1,1,3,Heat,46,1
Cross1,1,3,Heat,62,1
Cross1,1,3,Heat,62,1
Cross1,1,3,Heat,109,1
Cross1,1,3,Heat,119,1
Cross1,1,3,Heat,141,1
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,40,1
Cross1,1,3,Heat,40,1
Cross1,1,3,Heat,46,1
Cross1,1,3,Heat,46,1
Cross1,1,3,Heat,62,1
Cross1,1,3,Heat,62,1
Cross1,1,3,Heat,97,1
Cross1,1,3,Heat,97,1
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,46,1
Cross1,1,3,Heat,46,1
Cross1,1,3,Heat,62,1
Cross1,1,3,Heat,72,1
Cross1,1,3,Heat,72,1
Cross1,1,3,Heat,141,1
Cross1,1,3,Heat,141,1
Cross1,1,3,Heat,141,1
Cross1,1,3,Heat,141,0
Cross1,1,3,Heat,141,0
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,141,0
Cross1,1,4,Heat,46,1
Cross1,1,4,Heat,46,1
Cross1,1,4,Heat,72,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,119,1
Cross1,1,4,Heat,141,0
Cross1,1,4,Heat,141,0
Cross1,1,4,Heat,141,0
Cross1,1,4,Heat,46,1
Cross1,1,4,Heat,46,1
Cross1,1,4,Heat,62,1
Cross1,1,4,Heat,72,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,109,1
Cross1,1,4,Heat,135,1
Cross1,1,4,Heat,135,1
Cross1,1,4,Heat,135,1
Cross1,1,4,Heat,141,0
Cross2,1,3,Heat,40,1
