gene,logP
isogroupOFAVBQ_DN120656_c0_g1,NA
isogroupOFAVBQ_DN120839_c0_g1,NA
isogroupOFAVBQ_DN121153_c0_g1,NA
isogroupOFAVBQ_DN121340_c0_g1,NA
isogroupOFAVBQ_DN121467_c0_g1,0.0171758314351904
isogroupOFAVBQ_DN121467_c0_g2,0.0115976929999509
isogroupOFAVBQ_DN121500_c0_g2,0.0644373754815976
isogroupOFAVBQ_DN121517_c0_g2,-0.0817207525398475
isogroupOFAVBQ_DN12184_c0_g1,NA
isogroupOFAVBQ_DN122148_c0_g1,NA
isogroupOFAVBQ_DN122544_c0_g1,NA
isogroupOFAVBQ_DN123119_c0_g1,NA
isogroupOFAVBQ_DN123151_c0_g1,NA
isogroupOFAVBQ_DN123284_c0_g1,0.249678675847319
isogroupOFAVBQ_DN123546_c0_g1,NA
isogroupOFAVBQ_DN123824_c0_g1,NA
isogroupOFAVBQ_DN124067_c0_g1,NA
isogroupOFAVBQ_DN12413_c0_g1,NA
isogroupOFAVBQ_DN124185_c1_g1,-0.0471492934705067
isogroupOFAVBQ_DN124225_c0_g1,NA
isogroupOFAVBQ_DN124452_c0_g1,NA
isogroupOFAVBQ_DN124459_c0_g2,-0.593501693831203
isogroupOFAVBQ_DN124471_c0_g1,NA
isogroupOFAVBQ_DN124602_c0_g1,NA
isogroupOFAVBQ_DN124701_c0_g1,NA
isogroupOFAVBQ_DN124761_c0_g4,NA
isogroupOFAVBQ_DN124830_c0_g1,0.0706392237223529
isogroupOFAVBQ_DN125491_c0_g1,NA
isogroupOFAVBQ_DN125572_c0_g1,NA
isogroupOFAVBQ_DN125970_c0_g3,0.893605987367554
isogroupOFAVBQ_DN126125_c0_g1,NA
isogroupOFAVBQ_DN126731_c0_g3,NA
isogroupOFAVBQ_DN126919_c0_g1,NA
isogroupOFAVBQ_DN127455_c0_g1,-1.42744462203981
isogroupOFAVBQ_DN127556_c0_g1,NA
isogroupOFAVBQ_DN127598_c0_g2,NA
isogroupOFAVBQ_DN127884_c0_g1,NA
isogroupOFAVBQ_DN128103_c0_g1,NA
isogroupOFAVBQ_DN128267_c0_g2,NA
isogroupOFAVBQ_DN128371_c0_g1,NA
isogroupOFAVBQ_DN128830_c0_g1,NA
isogroupOFAVBQ_DN128952_c0_g1,NA
isogroupOFAVBQ_DN129341_c0_g1,NA
isogroupOFAVBQ_DN129832_c0_g1,-0.410714113024268
isogroupOFAVBQ_DN12994_c0_g1,NA
isogroupOFAVBQ_DN130440_c0_g1,NA
isogroupOFAVBQ_DN130584_c0_g1,NA
isogroupOFAVBQ_DN130653_c0_g2,0.209901593374808
isogroupOFAVBQ_DN130972_c0_g1,NA
isogroupOFAVBQ_DN131869_c0_g1,-0.105182569601728
isogroupOFAVBQ_DN132618_c0_g1,NA
isogroupOFAVBQ_DN132846_c0_g1,NA
isogroupOFAVBQ_DN133119_c0_g1,0.0248005987935771
isogroupOFAVBQ_DN133396_c0_g1,NA
isogroupOFAVBQ_DN133426_c0_g1,-0.021408539135157
isogroupOFAVBQ_DN13352_c0_g1,NA
isogroupOFAVBQ_DN133941_c1_g1,NA
isogroupOFAVBQ_DN133950_c0_g1,NA
isogroupOFAVBQ_DN134093_c0_g1,NA
isogroupOFAVBQ_DN134383_c0_g1,NA
isogroupOFAVBQ_DN134544_c0_g1,NA
isogroupOFAVBQ_DN134841_c0_g1,NA
isogroupOFAVBQ_DN134853_c0_g2,NA
isogroupOFAVBQ_DN134963_c0_g1,NA
isogroupOFAVBQ_DN135052_c0_g1,NA
isogroupOFAVBQ_DN13518_c0_g1,NA
isogroupOFAVBQ_DN135228_c0_g1,NA
isogroupOFAVBQ_DN13527_c0_g1,NA
isogroupOFAVBQ_DN135519_c0_g1,NA
isogroupOFAVBQ_DN135810_c0_g1,NA
isogroupOFAVBQ_DN136406_c0_g1,NA
isogroupOFAVBQ_DN136503_c0_g1,NA
isogroupOFAVBQ_DN136641_c1_g1,NA
isogroupOFAVBQ_DN136908_c0_g1,0.659209202780275
isogroupOFAVBQ_DN137008_c0_g1,NA
isogroupOFAVBQ_DN137361_c0_g1,NA
isogroupOFAVBQ_DN137421_c0_g1,0.389904943053465
isogroupOFAVBQ_DN137575_c0_g2,NA
isogroupOFAVBQ_DN137614_c0_g1,NA
isogroupOFAVBQ_DN137614_c0_g2,NA
isogroupOFAVBQ_DN137704_c0_g1,NA
isogroupOFAVBQ_DN13788_c0_g1,-0.245189800980088
isogroupOFAVBQ_DN137932_c0_g1,NA
isogroupOFAVBQ_DN138007_c0_g1,NA
isogroupOFAVBQ_DN138175_c0_g1,-0.200127291238523
isogroupOFAVBQ_DN138229_c0_g1,NA
isogroupOFAVBQ_DN138290_c0_g1,0.094672854156921
isogroupOFAVBQ_DN138765_c0_g1,NA
isogroupOFAVBQ_DN138985_c0_g1,NA
isogroupOFAVBQ_DN139054_c0_g1,NA
isogroupOFAVBQ_DN139120_c0_g1,NA
isogroupOFAVBQ_DN139120_c1_g1,NA
isogroupOFAVBQ_DN139377_c0_g1,-0.0930388128147658
isogroupOFAVBQ_DN139704_c0_g1,NA
isogroupOFAVBQ_DN139808_c0_g1,0.114582469493092
isogroupOFAVBQ_DN13982_c0_g1,NA
isogroupOFAVBQ_DN139898_c0_g1,NA
isogroupOFAVBQ_DN140286_c0_g1,NA
isogroupOFAVBQ_DN140347_c0_g1,NA
isogroupOFAVBQ_DN140434_c0_g1,0.292613914201913
isogroupOFAVBQ_DN140676_c0_g1,NA
isogroupOFAVBQ_DN140682_c0_g1,NA
isogroupOFAVBQ_DN140833_c0_g1,NA
isogroupOFAVBQ_DN140871_c0_g1,-0.0637551862759203
isogroupOFAVBQ_DN141057_c0_g2,NA
isogroupOFAVBQ_DN141333_c0_g2,NA
isogroupOFAVBQ_DN141437_c0_g1,NA
isogroupOFAVBQ_DN14145_c0_g1,NA
isogroupOFAVBQ_DN141650_c1_g2,NA
isogroupOFAVBQ_DN141904_c0_g1,NA
isogroupOFAVBQ_DN142039_c0_g1,NA
isogroupOFAVBQ_DN142048_c0_g1,NA
isogroupOFAVBQ_DN142099_c2_g1,-0.604521029906867
isogroupOFAVBQ_DN142236_c0_g1,NA
isogroupOFAVBQ_DN142703_c0_g2,NA
isogroupOFAVBQ_DN142840_c0_g3,-2.47836000851327
isogroupOFAVBQ_DN143143_c0_g1,NA
isogroupOFAVBQ_DN143165_c0_g1,NA
isogroupOFAVBQ_DN143204_c0_g1,NA
isogroupOFAVBQ_DN143454_c0_g4,NA
isogroupOFAVBQ_DN143475_c0_g4,NA
isogroupOFAVBQ_DN143590_c0_g2,NA
isogroupOFAVBQ_DN14372_c0_g1,NA
isogroupOFAVBQ_DN143732_c0_g2,NA
isogroupOFAVBQ_DN143905_c0_g1,NA
isogroupOFAVBQ_DN144592_c0_g1,NA
isogroupOFAVBQ_DN144624_c0_g1,NA
isogroupOFAVBQ_DN145019_c0_g1,0.0839473271723984
isogroupOFAVBQ_DN145146_c0_g3,NA
isogroupOFAVBQ_DN145735_c0_g1,NA
isogroupOFAVBQ_DN145824_c0_g1,NA
isogroupOFAVBQ_DN146049_c0_g1,0.0115976929999509
isogroupOFAVBQ_DN146215_c0_g1,NA
isogroupOFAVBQ_DN146246_c0_g1,0.585918975815994
isogroupOFAVBQ_DN146529_c0_g1,NA
isogroupOFAVBQ_DN146560_c0_g2,0.295249589060505
isogroupOFAVBQ_DN14657_c0_g1,NA
isogroupOFAVBQ_DN146724_c0_g2,NA
isogroupOFAVBQ_DN146757_c0_g2,NA
isogroupOFAVBQ_DN146870_c0_g1,NA
isogroupOFAVBQ_DN147093_c0_g1,NA
isogroupOFAVBQ_DN147240_c0_g2,NA
isogroupOFAVBQ_DN147350_c1_g1,NA
isogroupOFAVBQ_DN147597_c0_g1,NA
isogroupOFAVBQ_DN147685_c0_g1,NA
isogroupOFAVBQ_DN147877_c0_g1,NA
isogroupOFAVBQ_DN149161_c0_g1,NA
isogroupOFAVBQ_DN14920_c0_g1,NA
isogroupOFAVBQ_DN149222_c0_g3,0.370107960943906
isogroupOFAVBQ_DN149286_c0_g1,-0.182812475800366
isogroupOFAVBQ_DN149494_c0_g1,NA
isogroupOFAVBQ_DN149845_c0_g1,NA
isogroupOFAVBQ_DN149993_c0_g1,0.00854805008349473
isogroupOFAVBQ_DN150191_c0_g1,NA
isogroupOFAVBQ_DN150430_c0_g1,0.331040787578027
isogroupOFAVBQ_DN150488_c0_g3,NA
