gene,logP
isogroupOFAVBQ_DN124761_c0_g4,NA
isogroupOFAVBQ_DN124830_c0_g1,-0.493106081202592
isogroupOFAVBQ_DN125491_c0_g1,NA
isogroupOFAVBQ_DN125650_c0_g1,NA
isogroupOFAVBQ_DN125970_c0_g3,0.368327342793131
isogroupOFAVBQ_DN126245_c0_g1,NA
isogroupOFAVBQ_DN126731_c0_g3,0.120453406954792
isogroupOFAVBQ_DN126919_c0_g1,NA
isogroupOFAVBQ_DN127420_c0_g1,NA
isogroupOFAVBQ_DN127455_c0_g1,-0.0837626313128471
isogroupOFAVBQ_DN127598_c0_g2,NA
isogroupOFAVBQ_DN127884_c0_g1,NA
isogroupOFAVBQ_DN128371_c0_g1,NA
isogroupOFAVBQ_DN128764_c0_g1,NA
isogroupOFAVBQ_DN128795_c0_g1,1.85951873882207
isogroupOFAVBQ_DN128830_c0_g1,NA
isogroupOFAVBQ_DN12884_c0_g1,NA
isogroupOFAVBQ_DN129284_c0_g1,NA
isogroupOFAVBQ_DN129341_c0_g1,NA
isogroupOFAVBQ_DN129675_c0_g1,NA
isogroupOFAVBQ_DN129832_c0_g1,-0.098298756682561
isogroupOFAVBQ_DN129949_c0_g1,NA
isogroupOFAVBQ_DN12994_c0_g1,NA
isogroupOFAVBQ_DN130440_c0_g1,NA
isogroupOFAVBQ_DN130565_c0_g1,NA
isogroupOFAVBQ_DN130583_c0_g2,NA
isogroupOFAVBQ_DN130653_c0_g2,0.332164637081489
isogroupOFAVBQ_DN130972_c0_g1,0.109439726779429
isogroupOFAVBQ_DN131869_c0_g1,0.0182403531626908
isogroupOFAVBQ_DN132034_c0_g1,NA
isogroupOFAVBQ_DN132827_c0_g1,NA
isogroupOFAVBQ_DN132846_c0_g1,-0.168900003249879
isogroupOFAVBQ_DN133119_c0_g1,NA
isogroupOFAVBQ_DN133396_c0_g1,NA
isogroupOFAVBQ_DN133426_c0_g1,NA
isogroupOFAVBQ_DN133757_c1_g1,NA
isogroupOFAVBQ_DN133950_c0_g1,NA
isogroupOFAVBQ_DN134093_c0_g1,NA
isogroupOFAVBQ_DN134544_c0_g1,NA
isogroupOFAVBQ_DN134593_c0_g1,NA
isogroupOFAVBQ_DN134776_c0_g3,NA
isogroupOFAVBQ_DN134841_c0_g1,0.0291111385551368
isogroupOFAVBQ_DN134853_c0_g2,NA
isogroupOFAVBQ_DN134963_c0_g1,-0.577690321448083
isogroupOFAVBQ_DN13518_c0_g1,NA
isogroupOFAVBQ_DN135228_c0_g1,NA
isogroupOFAVBQ_DN13527_c0_g1,NA
isogroupOFAVBQ_DN135766_c0_g1,0.127749429034878
isogroupOFAVBQ_DN135933_c0_g2,NA
isogroupOFAVBQ_DN136087_c0_g2,NA
isogroupOFAVBQ_DN13622_c0_g1,NA
isogroupOFAVBQ_DN136406_c0_g1,0.043605494651391
isogroupOFAVBQ_DN136503_c0_g1,-0.126362903966877
isogroupOFAVBQ_DN136908_c0_g1,0.246631162037448
isogroupOFAVBQ_DN136988_c0_g1,NA
isogroupOFAVBQ_DN137008_c0_g1,NA
isogroupOFAVBQ_DN137361_c0_g1,-0.0642207589184525
isogroupOFAVBQ_DN137421_c0_g1,0.0110283753909127
isogroupOFAVBQ_DN13743_c0_g1,NA
isogroupOFAVBQ_DN137575_c0_g2,-0.146420920462642
isogroupOFAVBQ_DN137595_c0_g1,NA
isogroupOFAVBQ_DN137614_c0_g1,NA
isogroupOFAVBQ_DN137614_c0_g2,0.00955073166628669
isogroupOFAVBQ_DN13788_c0_g1,-0.013070711213689
isogroupOFAVBQ_DN137932_c0_g1,-0.147586115457868
isogroupOFAVBQ_DN138007_c0_g1,NA
isogroupOFAVBQ_DN138175_c0_g1,0.0353761433239008
isogroupOFAVBQ_DN138229_c0_g1,NA
isogroupOFAVBQ_DN138290_c0_g1,0.359262648346105
isogroupOFAVBQ_DN139054_c0_g1,NA
isogroupOFAVBQ_DN139120_c0_g1,0.362270687908104
isogroupOFAVBQ_DN139120_c1_g1,0.00643744351926272
isogroupOFAVBQ_DN139377_c0_g1,0.123455165081552
isogroupOFAVBQ_DN139486_c0_g1,NA
isogroupOFAVBQ_DN139679_c0_g1,NA
isogroupOFAVBQ_DN139808_c0_g1,0.398380068810026
isogroupOFAVBQ_DN140434_c0_g1,-0.043605494651391
