gene,logP
isogroupOFAVBQ_DN126919_c0_g1,NA
isogroupOFAVBQ_DN127420_c0_g1,NA
isogroupOFAVBQ_DN127455_c0_g1,NA
isogroupOFAVBQ_DN127598_c0_g2,NA
isogroupOFAVBQ_DN127884_c0_g1,NA
isogroupOFAVBQ_DN128371_c0_g1,NA
isogroupOFAVBQ_DN128764_c0_g1,NA
isogroupOFAVBQ_DN128795_c0_g1,NA
isogroupOFAVBQ_DN128830_c0_g1,NA
isogroupOFAVBQ_DN12884_c0_g1,NA
isogroupOFAVBQ_DN129284_c0_g1,NA
isogroupOFAVBQ_DN129341_c0_g1,NA
isogroupOFAVBQ_DN129675_c0_g1,NA
isogroupOFAVBQ_DN129832_c0_g1,-0.296107678954097
isogroupOFAVBQ_DN129949_c0_g1,NA
isogroupOFAVBQ_DN12994_c0_g1,NA
isogroupOFAVBQ_DN130440_c0_g1,NA
isogroupOFAVBQ_DN130565_c0_g1,NA
isogroupOFAVBQ_DN130583_c0_g2,NA
isogroupOFAVBQ_DN130653_c0_g2,NA
isogroupOFAVBQ_DN130972_c0_g1,NA
isogroupOFAVBQ_DN131869_c0_g1,0.525783560451823
isogroupOFAVBQ_DN132034_c0_g1,NA
isogroupOFAVBQ_DN132827_c0_g1,NA
isogroupOFAVBQ_DN132846_c0_g1,NA
isogroupOFAVBQ_DN133119_c0_g1,NA
isogroupOFAVBQ_DN133396_c0_g1,NA
isogroupOFAVBQ_DN133426_c0_g1,NA
isogroupOFAVBQ_DN133757_c1_g1,NA
isogroupOFAVBQ_DN133950_c0_g1,NA
isogroupOFAVBQ_DN134093_c0_g1,NA
isogroupOFAVBQ_DN134544_c0_g1,NA
isogroupOFAVBQ_DN134593_c0_g1,NA
isogroupOFAVBQ_DN134776_c0_g3,NA
isogroupOFAVBQ_DN134841_c0_g1,0.342385669190528
isogroupOFAVBQ_DN134853_c0_g2,NA
isogroupOFAVBQ_DN134963_c0_g1,NA
isogroupOFAVBQ_DN13518_c0_g1,NA
isogroupOFAVBQ_DN135228_c0_g1,NA
isogroupOFAVBQ_DN13527_c0_g1,NA
isogroupOFAVBQ_DN135766_c0_g1,NA
isogroupOFAVBQ_DN135933_c0_g2,NA
isogroupOFAVBQ_DN136087_c0_g2,NA
isogroupOFAVBQ_DN13622_c0_g1,NA
isogroupOFAVBQ_DN136406_c0_g1,NA
isogroupOFAVBQ_DN136503_c0_g1,NA
isogroupOFAVBQ_DN136908_c0_g1,0.182217119331923
isogroupOFAVBQ_DN136988_c0_g1,NA
isogroupOFAVBQ_DN137008_c0_g1,NA
isogroupOFAVBQ_DN137361_c0_g1,NA
isogroupOFAVBQ_DN137421_c0_g1,-0.152893016308024
isogroupOFAVBQ_DN13743_c0_g1,NA
isogroupOFAVBQ_DN137575_c0_g2,-0.350741552759917
isogroupOFAVBQ_DN137595_c0_g1,NA
isogroupOFAVBQ_DN137614_c0_g1,NA
isogroupOFAVBQ_DN137614_c0_g2,NA
isogroupOFAVBQ_DN13788_c0_g1,0.559347022709926
isogroupOFAVBQ_DN137932_c0_g1,NA
isogroupOFAVBQ_DN138007_c0_g1,NA
isogroupOFAVBQ_DN138175_c0_g1,NA
isogroupOFAVBQ_DN138229_c0_g1,NA
isogroupOFAVBQ_DN138290_c0_g1,NA
isogroupOFAVBQ_DN139054_c0_g1,NA
isogroupOFAVBQ_DN139120_c0_g1,NA
isogroupOFAVBQ_DN139120_c1_g1,NA
isogroupOFAVBQ_DN139377_c0_g1,NA
isogroupOFAVBQ_DN139486_c0_g1,NA
isogroupOFAVBQ_DN139679_c0_g1,NA
isogroupOFAVBQ_DN139808_c0_g1,NA
isogroupOFAVBQ_DN140434_c0_g1,-0.0125571725754406
isogroupOFAVBQ_DN140676_c0_g1,NA
isogroupOFAVBQ_DN140833_c0_g1,NA
isogroupOFAVBQ_DN140871_c0_g1,NA
isogroupOFAVBQ_DN140928_c1_g1,NA
isogroupOFAVBQ_DN141057_c0_g2,NA
isogroupOFAVBQ_DN141333_c0_g2,NA
isogroupOFAVBQ_DN14145_c0_g1,NA
isogroupOFAVBQ_DN141904_c0_g1,0.946371536467805
isogroupOFAVBQ_DN14202_c0_g1,NA
isogroupOFAVBQ_DN142099_c2_g1,NA
isogroupOFAVBQ_DN142130_c0_g1,NA
isogroupOFAVBQ_DN142675_c0_g2,NA
isogroupOFAVBQ_DN142840_c0_g3,NA
isogroupOFAVBQ_DN143204_c0_g1,NA
isogroupOFAVBQ_DN143454_c0_g4,NA
isogroupOFAVBQ_DN143475_c0_g4,NA
isogroupOFAVBQ_DN143485_c0_g2,NA
isogroupOFAVBQ_DN143732_c0_g2,NA
isogroupOFAVBQ_DN143756_c0_g1,NA
isogroupOFAVBQ_DN144592_c0_g1,NA
isogroupOFAVBQ_DN144600_c0_g1,NA
isogroupOFAVBQ_DN144624_c0_g1,NA
isogroupOFAVBQ_DN145019_c0_g1,0.0693694949774798
