ProbeID,modules2019
isogroupOFAVBQ_DN125491_c0_g1,0
isogroupOFAVBQ_DN125650_c0_g1,0
isogroupOFAVBQ_DN125970_c0_g3,0
isogroupOFAVBQ_DN126125_c0_g1,0
isogroupOFAVBQ_DN126245_c0_g1,0
isogroupOFAVBQ_DN126731_c0_g3,0
isogroupOFAVBQ_DN126919_c0_g1,0
isogroupOFAVBQ_DN127455_c0_g1,0
isogroupOFAVBQ_DN127556_c0_g1,0
isogroupOFAVBQ_DN127598_c0_g2,0
isogroupOFAVBQ_DN127884_c0_g1,0
isogroupOFAVBQ_DN128103_c0_g1,0
isogroupOFAVBQ_DN128267_c0_g2,0
isogroupOFAVBQ_DN128371_c0_g1,0
isogroupOFAVBQ_DN128764_c0_g1,0
isogroupOFAVBQ_DN128795_c0_g1,0
isogroupOFAVBQ_DN128830_c0_g1,0
isogroupOFAVBQ_DN12884_c0_g1,0
isogroupOFAVBQ_DN128952_c0_g1,0
isogroupOFAVBQ_DN129341_c0_g1,0
isogroupOFAVBQ_DN129832_c0_g1,0
isogroupOFAVBQ_DN129949_c0_g1,1
isogroupOFAVBQ_DN12994_c0_g1,0
isogroupOFAVBQ_DN130440_c0_g1,0
isogroupOFAVBQ_DN130583_c0_g2,0
isogroupOFAVBQ_DN130584_c0_g1,0
isogroupOFAVBQ_DN130653_c0_g2,0
isogroupOFAVBQ_DN130972_c0_g1,0
isogroupOFAVBQ_DN131869_c0_g1,0
isogroupOFAVBQ_DN132034_c0_g1,0
isogroupOFAVBQ_DN132827_c0_g1,0
isogroupOFAVBQ_DN132846_c0_g1,0
isogroupOFAVBQ_DN133119_c0_g1,0
isogroupOFAVBQ_DN133396_c0_g1,0
isogroupOFAVBQ_DN133426_c0_g1,0
isogroupOFAVBQ_DN133757_c1_g1,0
isogroupOFAVBQ_DN133950_c0_g1,0
isogroupOFAVBQ_DN134093_c0_g1,0
isogroupOFAVBQ_DN134544_c0_g1,0
isogroupOFAVBQ_DN134841_c0_g1,0
isogroupOFAVBQ_DN134853_c0_g2,0
isogroupOFAVBQ_DN134963_c0_g1,0
isogroupOFAVBQ_DN135052_c0_g1,0
isogroupOFAVBQ_DN13518_c0_g1,0
isogroupOFAVBQ_DN135228_c0_g1,0
isogroupOFAVBQ_DN13527_c0_g1,0
isogroupOFAVBQ_DN135766_c0_g1,0
isogroupOFAVBQ_DN135810_c0_g1,0
isogroupOFAVBQ_DN136087_c0_g2,0
isogroupOFAVBQ_DN136406_c0_g1,0
isogroupOFAVBQ_DN136503_c0_g1,0
isogroupOFAVBQ_DN136641_c1_g1,0
isogroupOFAVBQ_DN136908_c0_g1,0
isogroupOFAVBQ_DN137008_c0_g1,0
isogroupOFAVBQ_DN137361_c0_g1,0
isogroupOFAVBQ_DN137421_c0_g1,0
isogroupOFAVBQ_DN137575_c0_g2,0
